code-appsscript-1 | machine | 첫 학생 · 밤 배치(aiStudioBatch_ | 학생이 매일 읽는 AI 글에 「어느 AI가 썼나」 도장이 없다
memory-2 | person | 첫 동의 수집(첫 학생 등록 · 12월 파일럿  | 동의문 몽골어가 빈칸이다 — 학생이 못 읽는 글로 받은 동의는 그날 그 문장으로 굳는다
memory-3 | yuho | 첫 강사 채용 계약 서명(대학 창구 채용 메일  | 강사 고용계약서에 「AI 학습·활용」 문단이 들어갈 자리가 아직 없다
memory-4 | machine | 첫 음성 수집(학생의 첫 녹음 제출) | 낭독 미션 낱말을 학생에게 «시키는 손»이 0건 — `목표발화` 칸이 거짓으로 찬다
memory-5 | machine | 첫 음성 수집 · 앱 번들 갈래면 첫 학생의 앱 | 발음 본보기 소리 11벌이 학생 귀에 닿는 통로가 0 — 첫 소리는 「본보기 없이 낸 소리」로 굳는다
memory-6 | machine | 첫 학생 첫 등록(12월 파일럿 코호트) | 입학 첫날 첫 발화(오디오 타임캡슐) 배선이 라이브에 «닿았는지» 아무도 안 쟀다
memory-7 | machine | 첫 동의 발급(종이 동의서 포함 · 12월 파일 | 동의 발급의 `doc_hash` 가 빈 칸 — 「그 학생이 어느 글에 동의했나」의 유일한 증거
memory-8 | machine | 첫 강사 검수 라벨(첫 학생 제출의 다음 검수  | 강사가 매기는 검수 점수의 «축 이름표»가 정본 0 — 첫 라벨이 지어낸 축으로 굳는다
memory-9 | machine | 첫 게임 배정(첫 학생 · 12월 파일럿) | 게임 도중 이탈한 행이 「어느 게임이었나」를 안 들고 있다
memory-10 | machine | 첫 결석 알림 문자 발송(개원 첫 주 · 파일럿 | 학부모 알림 링크를 «누가 열었나» 재는 장치가 1단부터 있어야 한다
memory-11 | machine | 첫 AI 교정 생산(첫 학생 숙제 제출의 다음  | AI 교정의 프롬프트 판 이름을 사람이 손으로 올린다 — 잊으면 그날 행이 틀린 판 이름으로 굳는다
memory-12 | machine | 첫 모의면접 실시 | 모의면접 끝에 묻는 「긴장 자기보고」 한 문항이 아직 없다
philosophy-context-1 | machine | 12월 파일럿 코호트 첫 차시(2026-12-0 | 「첫 학생 전」의 시계가 개원(2027-02-25)이 아니라 12월 파일럿(2026-12-07)이다 — 소급 불가 시한이 80일 앞당겨진다
philosophy-context-2 | machine | 첫 학생의 첫 숙제 제출(12월 파일럿 코호트) | 숙제 제출의 «AI 사용 표식» 한 칸이 없다 — 첫 숙제부터 「아이 실력」과 「AI가 도운 것」이 섞인다
philosophy-context-3 | person | 첫 코호트의 첫 시즌 첫 주(12월 파일럿 ·  | ㉡ 사람 이해 — 첫 코호트의 «시작 성향»을 읽는 자리가 첫 시즌에 안 열릴 수 있다
philosophy-context-4 | machine | 첫 팀 프로젝트·첫 싱크 크루 활동(12월 파일 | 세 힘(질문하는 힘·스스로 하는 힘·마음을 끄는 힘)을 재는 자리가 어디에도 없다
philosophy-context-5 | machine | 첫 수업(12월 파일럿 첫 차시 2026-12- | 강사가 교실에서 본 것을 적는 자리(M2 강사 화면)가 «후속»으로 밀려 있다
philosophy-context-6 | yuho | 첫 크루 프로젝트 종료(개원 첫 시즌 · 12월 | 첫 시즌 크루 프로젝트 산출물이 «사람이 손으로 적는 시트» 하나에만 매여 있다
philosophy-context-7 | yuho | 첫 학생 문장이 골든 픽스처에 실려 올라가는 날 | 학생 문장이 공개 저장소로 나가는 출구가 열려 있고 문지기는 토큰 하나뿐이다
philosophy-context-8 | person | 첫 음성 수집(첫 말하기 숙제 · 12월 파일럿 | 학생 음성 «원본»을 남기는 통로가 실제로 도는지 안 재봤다
philosophy-context-9 | machine | 첫 학생(12월 파일럿) 전 계약 동결 | 설계·규격 정본 45벌 중 32벌이 «설계 심문» 자의 눈 밖에 있다 — 계약이 틀린 채 굳으면 첫 코호트의 행이 영영 그 모양이다
track-1 | machine | 첫 음성 수집(첫 학생이 말하기 화면에서 처음  | 학생에게 「이 낱말을 읽어라」를 알려 주는 한 줄이 없다 — 첫 녹음부터 「무엇을 시켰나」 칸이 거짓이 된다
track-2 | machine | 첫 음성 수집 | 녹음 한 건이 «어느 미션»이었는지 적는 칸이 지금은 우연히 비어 있다
track-3 | yuho | 첫 음성 수집 | 낭독 낱말 열하나와 시즌 경계는 첫 녹음 뒤에 바꾸면 옛 녹음의 뜻이 갈린다
track-4 | machine | 첫 학생이 앱을 설치하는 판(빌드)이 나가는 날 | 본보기 소리 열한 벌이 학생에게 닿는 길이 0이다 — 앱에 실으려면 첫 학생이 깔 판에 들어가야 한다
track-5 | machine | 학생에게 목소리 폼 링크를 처음 뿌리는 날(첫  | 목소리 폼 링크를 뿌리기 «전»에 라이브에서 한 번 돌려 봐야 한다
track-6 | machine | 첫 학생 제출(운영 DB 의 첫 전사 행) | 받아쓰기 장부 칸이 «운영»에서도 차는지 첫 제출 전에 재야 한다 — 옛 행은 소급해 안 채운다
track-7 | machine | 첫 출석 기록(12월 파일럿이 개원보다 이르다) | 출석 기록에 «어느 반이었나»가 안 남는다
track-8 | machine | 첫 학생 등록 | 학생의 «지금 어떤 상태인가» 칸은 섰는데 거기에 쓰는 손이 0이다
track-9 | machine | 첫 명단 인제스트(첫 학생 등록) | 학생 명단을 넣을 때 «정상 재전송»과 «번호 충돌»을 같은 얼굴로 삼킨다
track-10 | machine | 개원(그 전에 한 번) | 그 행이 «어느 계약 판»일 때 쓰였는지는 행에 박히고 소급해 못 고친다
track-11 | machine | 첫 학생 동의(가입 · 첫 승격 의사) | 동의를 «언제·어느 판으로» 받았는지 남기는 자리가 아직 안 닫혔다
track-12 | machine | 첫 강사 기록(12월 파일럿 · 개원) | 강사 기록이 조용히 버려진 건수를 세는 칸이 없다
track-13 | person | 첫 수업(12월 파일럿 · 개원) | 아침에 학생이 한 말을 받는 통로가 인쇄물에도 강사 손에도 0이다
track-14 | person | 첫 AI 활용 수업(12월 파일럿 · 개원) | AI 활용 교안의 «틀린 답»은 그날 실물에서 주워야 한다 — 지어내면 안 된다
track-15 | person | 첫 학생 첫 달 | 「화면 낱말은 반복하면 익는다」는 가설은 실학생 «첫 달»에만 잴 수 있다
track-16 | machine | 첫 송출 | 라디오 채팅 수집이 죽으면 그날 장부는 소급이 안 된다 — 그런데 재는 자가 아직 0이다
track-17 | yuho | 첫 송출(스트림 창을 처음 만드는 날) | 스트림 창에서 «중단 시 자동 종료»를 켜면 채팅 장부가 끊긴다
track-18 | yuho | 11월 첫 캠페인 | 9~10월 광고 계정 데우기를 안 하면 11월 캠페인이 이력 0으로 시작한다
track-19 | machine | 3편 발행(그림층 재굽기·문안 교체로 판이 바뀌 | 이미 나간 게시물 1·2편의 반응 숫자가 저장소에 0건이다 — 바꾸기 전 기준선이 안 남는다
track-20 | yuho | 12월 파일럿 | 체험→등록 전환율은 12월 파일럿 «그날»에만 잴 수 있다
track-21 | yuho | 개원(2027-02-25) · 앞당김 = 12월 | 첫 시즌 절반인 Lv1~2 예비 과제가 없어 개원일 학생이 빈손이 된다
track-22 | yuho | 귀환자 200명 회수 조사 첫 발송 | 귀환자 200명에게 보내기 «전»에 직장 경험 폼 문항을 닫아야 한다
track-23 | machine | 첫 기수 입학 | 「이 속도면 1년 뒤 4급에 닿나」의 재료인 «도달 시각»은 그날 안 적으면 없다
